NBa7we src,d4r55,RfnDt,rsqaWe,wiI7pd
https://lh3.googleusercontent.com/a-/ALV-UjVvZvP0u4_-TzScDAZsiVvfS4hBGO2O0TCoJBg5HxukmdY=w72-h72-p-rp-mo-ba5-br100,Rishabh Dua,Local Guide · 168 reviews · 999 photos,a month ago,"Lovely little store well managed and staffed. You can order online and pick it up from this store.
I was highly impressed by the customer service and kind attention. The staff's …"
https://lh3.googleusercontent.com/a/ACg8ocJiLctZasyvzI61h1XqyhrFAn0XcOGqa3WJZpD6ZiZA=w72-h72-p-rp-mo-br100,Maryam Hodaeian,9 reviews,2 months ago,"I am totally disappointed about Adidas shoes and customer service!!!

I bought a pair of shoes for 180,00€. And I told the staff that I want to take …"
https://lh3.googleusercontent.com/a/ACg8ocIhnnc0tuEVvP4W0IlpkgEVijOK7JPAwiZnI--RJBDF=w72-h72-p-rp-mo-ba3-br100,Tamer Hegazy,Local Guide · 36 reviews · 22 photos,6 months ago,"cash register girl wants to charge me 30 cents for a paper bag to carry on my 120€ sneakers and went out of the store with my sneakers in my hand as it's a cost as she said , …"
https://lh3.googleusercontent.com/a-/ALV-UjX8IWZx15NaZmbAZ1Z-gSPZ2cMIDt59IYkW4zTxBRJ3LdQJ=w72-h72-p-rp-mo-ba3-br100,Maya Placko,Local Guide · 49 reviews · 72 photos,9 months ago,"Amazing sells assistants, providing positive experience although all Gazeles and adidas shoes I liked were out of stock in my size, he offered me online purchase and have it delivered to my address but as I don't live in Germany didn't proceed. However amazing polite young guy."
https://lh3.googleusercontent.com/a-/ALV-UjXFzH0J_mV5YT1rULrkZyIwzyQXrE6QlXt2ilNKZrtXatBS=w72-h72-p-rp-mo-ba4-br100,Samuel Chan,Local Guide · 48 reviews · 193 photos,5 years ago,The two adidas stores are very close.  One inside 1st floor of MyZeil mall and one on the street opposite to this mall.  Very easy to find them.  The shop inside mall is Adidas Original but it is small and the choice are limited.  For the …
https://lh3.googleusercontent.com/a-/ALV-UjVO7VPvoFY-THfj7lOjbiJyB0LuVmsVZbV-u8ESlzovDtKE=w72-h72-p-rp-mo-ba5-br100,Mauro Kusznir,"Local Guide · 225 reviews · 1,184 photos",2 weeks ago,"Excelent store. I had read the staff was very kind and attencious and.... that is compeltely true! Very nice people, they helped me with the size (I got exact the correct size in 3 days). The price is high, as it is in any Adidas store around the world."
https://lh3.googleusercontent.com/a-/ALV-UjXKGuD9eDM-Stx_8XtKdX_Gw6IO5J3FCTtfhTYtRhtLsaEF=w72-h72-p-rp-mo-ba3-br100,Ryan Koo,Local Guide · 40 reviews · 41 photos,6 years ago,Great staff with wonderful display and digital devices which help shopping experience
https://lh3.googleusercontent.com/a/ACg8ocIeWl1SGAGG8M8Rd5l_vASBewUPMSdb7H54TSC0VMRz=w72-h72-p-rp-mo-ba3-br100,james fulgence,Local Guide · 34 reviews · 18 photos,7 months ago,"Varieties of options to choose from and located at the center of the city, along with many other stores, if you don't find what you were looking for, there is an option to check other stores just next door."
https://lh3.googleusercontent.com/a-/ALV-UjU9ADrQDse9qtAhVJ5jpg2d_qC_-hv4TgOPuckcl9F4tU0=w72-h72-p-rp-mo-ba5-br100,Shiera Elena Yovika,Local Guide · 266 reviews · 298 photos,a year ago,"The saleswomen need to be more friendly, at least smile and greetings. I even bought shoes, but they acted like I didn’t exist when I walked out. Will definitely not coming back!"
https://lh3.googleusercontent.com/a-/ALV-UjXLKO7li58r797ZcmNvkh4PhBvWoTrJpk8foOJe2Axfjhw=w72-h72-p-rp-mo-br100,EY Kim,3 reviews,a year ago,"I went to this shop to buy a company t-shirt for 27 people. We already knew that it is hard to find same tshirts for the large amounts at the day and it was a bit picky selection and requires. However, the staff there (a tall guy, i know …"
